Filename,time_stamp,ch_num,temp 1,temp 2,temp 3,temp 4,temp 5,hotspot_num,mean,std_dev,skewness,kurtosis,median,min,max,sum,peak1amp,peak2amp,peak3amp,peak4amp,peak5amp,bin1_mean,bin1_std_dev,bin1_skewness,bin1_kurtosis,bin1_median,bin1_min,bin1_max,bin1_sum,bin2_mean,bin2_std_dev,bin2_skewness,bin2_kurtosis,bin2_median,bin2_min,bin2_max,bin2_sum,bin3_mean,bin3_std_dev,bin3_skewness,bin3_kurtosis,bin3_median,bin3_min,bin3_max,bin3_sum,bin4_mean,bin4_std_dev,bin4_skewness,bin4_kurtosis,bin4_median,bin4_min,bin4_max,bin4_sum,bin5_mean,bin5_std_dev,bin5_skewness,bin5_kurtosis,bin5_median,bin5_min,bin5_max,bin5_sum,bin6_mean,bin6_std_dev,bin6_skewness,bin6_kurtosis,bin6_median,bin6_min,bin6_max,bin6_sum,bin7_mean,bin7_std_dev,bin7_skewness,bin7_kurtosis,bin7_median,bin7_min,bin7_max,bin7_sum,bin8_mean,bin8_std_dev,bin8_skewness,bin8_kurtosis,bin8_median,bin8_min,bin8_max,bin8_sum,bin9_mean,bin9_std_dev,bin9_skewness,bin9_kurtosis,bin9_median,bin9_min,bin9_max,bin9_sum,bin10_mean,bin10_std_dev,bin10_skewness,bin10_kurtosis,bin10_median,bin10_min,bin10_max,bin10_sum,fft_peak_1_freq,fft_peak_2_freq,fft_peak_3_freq,fft_peak_4_freq,fft_peak_5_freq,fft_peak_1_mag,fft_peak_2_mag,fft_peak_3_mag,fft_peak_4_mag,fft_peak_5_mag
20240705 (3),2024-07-05 10:33:31.825255,2,16.01484,16.23157,16.31811,16.42615,16.53405,0,3.096239510906811e-17,2.8054213787761793,-0.005612488827792392,6.372108171605705,-0.04310897188329389,-13.03096686341111,13.366539029904141,3.108624468950438e-14,13.47,12.86,9.57,5.84,6.77,-0.02297181734820034,2.038507566006947,0.09626846795728222,1.1218432317900318,-0.016211148069987052,-5.0994243189352035,5.610215561258224,-2.320153552168234,-0.19004636538753814,5.539550516570306,-0.08716947049306545,-0.14635929396154346,0.101218009243845,-12.670901790488287,12.165387898906365,-19.194682904141352,0.22320840392862784,4.905174956121809,0.1189900124429397,0.8289809960685002,-0.07076078846747691,-13.03096686341111,13.366539029904141,22.54404879679141,-0.02497618198173107,3.989002993169334,0.019883793094335623,-0.06628606887928967,-0.21554828019253083,-9.38149229398626,9.24971136406973,-2.522594380154838,-0.003196331026526559,1.4860087742752062,0.0721007225486048,0.016838964320772476,-0.031051216386648428,-3.569786708275295,3.537972749764373,-0.3196331026526559,0.004702292001506918,0.7716483109281,0.11617549289238577,-1.0005417743735825,0.005699597112934473,-1.4976164614068563,1.6625672608171291,0.4702292001506918,-0.003434251980243134,0.4304725183713099,-0.2604330231448139,0.3221465899483178,-0.05971291350569608,-1.3826071951023577,0.9308343679087953,-0.3434251980243134,-0.0005341041041895575,0.3889580216037208,0.6569897149440023,-0.19003072303236612,-0.06336851421510878,-0.7593652397966549,1.0552090165460357,-0.05341041041895575,0.006338405934526242,0.3581411770913746,0.40346803491462896,-0.12695226682443517,-0.04550943929146226,-0.8246878368919072,0.9048268546515023,0.6338405934526242,0.011057809571656495,0.31439644035349035,0.3047519302196663,0.25546530743812257,-0.013235789448703612,-0.6761626811437986,0.7996644276281716,1.1057809571656494,308764.9711155412,346115.5724601631,378486.0936255021,400896.45443227526,425796.85532868985,355.97526333987093,574.9347705482371,677.5898897698164,379.29141463411224,523.5586958667964
20240705,2024-07-05 10:33:36.823968,2,16.05823,16.25322,16.31811,16.51249,16.51249,0,2.6539195807772667e-17,2.77871050367913,0.00583318321156999,6.371545255852041,-0.02103183574538861,-12.876321966388419,13.19275386862479,2.6645352591003757e-14,13.53,12.63,9.81,5.64,7.02,0.05426894843655526,1.8995868874830282,0.10455825771020626,1.0813268685266912,0.02560179805597952,-4.825041553961549,5.498217659989368,5.481163792092081,-0.13539310818342848,5.425511835939294,-0.06786537417904852,-0.13987381855451453,-0.055655902937811155,-12.270659992672334,12.140891918838198,-13.674703926526275,0.1888762127909799,4.915570959130507,0.09901799259395147,0.8483759128629766,-0.20683978105877904,-12.876321966388419,13.19275386862479,19.076497491888972,-0.06480804959821504,3.9726520572921693,0.0059294097143784705,-0.04929919294990537,-0.19100126346785745,-9.491632253251174,9.1662880264683,-6.54561300941972,-0.013901367888969215,1.4521306163373855,-0.037230746050110314,0.413608785904378,-0.05560324603545592,-3.9810382207346944,3.245596828563688,-1.3901367888969216,-0.03457835170385362,0.9120878750054986,0.09551198836434212,-0.8621870640439351,-0.006780601026584253,-2.23577518977334,1.8887282948060686,-3.457835170385362,-0.01363808192454062,0.43846056484910473,0.8925187438502322,1.2168695479681917,-0.10211137498300064,-0.7811340957695421,1.559957209697501,-1.363808192454062,-0.016634926204440154,0.5066580362344667,0.3851587237369531,-0.8175169516571068,-0.14867624235044138,-0.9961278342635416,1.0480002838309443,-1.6634926204440155,0.019862984139706684,0.4682092282221509,0.6914040152103527,-0.274180376008744,0.011644993960864193,-0.6631135996411983,1.2160836410774545,1.9862984139706683,0.015516300101746592,0.3589677889003706,-0.0853637692596491,2.186695242885116,0.03380993082883074,-1.1310187450819524,0.9480784177176811,1.5516300101746592,303784.89093625825,346115.5724601631,378486.0936255021,400896.45443227526,425796.85532868985,334.3206717285182,564.6432360485866,658.9374057139279,350.1458282098074,554.608691413209
20240705 (4),2024-07-05 10:33:46.828084,2,16.05823,16.23157,16.27485,16.55562,16.57718,0,-2.3664116261930628e-17,2.769355042971007,-0.024064229272122498,6.205353524503188,-0.01795195870843655,-12.80585080101897,12.821688480636015,-2.375877272697835e-14,13.17,12.67,9.44,5.97,3.53,0.005336815393632199,2.02245149433411,0.01207759520436345,1.1008137966758644,0.022123950500399753,-5.211522804007656,5.7790888874915884,0.5390183547568521,-0.14796117025231825,5.463967100972286,-0.06107404609830396,-0.1389669485201126,0.2317382077910932,-12.46405769108076,11.477796927183892,-14.944078195484144,0.18775970490498614,4.831665948595309,0.026739478344056735,0.7404960280036352,-0.0795951705094349,-12.80585080101897,12.821688480636015,18.9637301954036,-0.03064278180103345,3.9464843453682197,0.05572780444949131,-0.13930840536186295,-0.09503984600786006,-8.997091620535818,9.270777811734819,-3.0949209619043785,-0.019266946342708847,1.415755305812579,0.060748763183842244,0.2022781712428241,0.01063556868530172,-3.4960209212394773,3.348205127738429,-1.9266946342708846,-0.019216116945819022,0.8734983197196933,-0.47548317611788693,-0.5592256776575386,0.1317353684526272,-2.383526328971977,1.4579958427163655,-1.9216116945819022,-0.005232274609825684,0.38772182694452856,0.14033308145502152,-0.32392423850127283,-0.02430228810472358,-0.9241444630972073,0.9089545254314689,-0.5232274609825684,0.029536445627134467,0.45209293931789707,0.5649449360860254,0.09173310881608421,-0.09374262847246237,-0.7923490752823128,1.518246955131127,2.9536445627134467,-0.0032077033865465666,0.3095425512266938,0.2682226896222073,-0.01668275259901364,-0.022626117547901538,-0.7452562877677436,0.7644438897150314,-0.32077033865465665,0.002749101730046222,0.3580050618275048,0.5287506395530411,1.0007001138530223,-0.006321844914015177,-0.9842636549364657,1.0887528618501223,0.2749101730046222,313745.0512948241,346115.5724601631,378486.0936255021,400896.45443227526,428286.8954183313,354.4933887887792,568.8659476448782,662.5700216993284,364.75283119873575,530.1323488457933
20240705 (5),2024-07-05 10:33:51.831201,2,15.99313,16.29648,16.27485,16.59873,16.55562,0,-1.680815734492269e-17,2.755105387261378,0.00032551055601787366,6.580930670640619,-0.03057596157363052,-13.045935907490854,13.570271013534388,-1.687538997430238e-14,13.63,12.86,9.37,6.02,6.36,0.016743538960979562,2.0797787201207085,-0.09515734864151189,1.3299541662163499,-0.013656993844748992,-5.454706383880316,5.698481216036152,1.6910974350589356,-0.20727957891913826,5.443803787315126,-0.09441545478359298,-0.11874218912586754,-0.2533421359154131,-12.7245257760583,11.71732962022296,-20.935237470832963,0.2703850961463568,4.82738552513304,0.14263292191003887,1.033208796542656,0.1302291758019789,-13.045935907490854,13.570271013534388,27.308894710782038,-0.06562532596287055,3.816796838394396,0.04078877715263168,-0.06694888079440808,-0.2771946176394251,-9.163132514311155,8.379133046324872,-6.628157922249925,0.04633034313842373,1.4962707146723708,-0.06761307467138938,-0.09016019618775628,0.016708621000878346,-3.600446406218625,3.4724211581179616,4.633034313842373,-0.004183584910600839,0.8014849383406233,-0.16056325295904533,-0.6323209046425218,0.017183915871802943,-1.9617928115083305,1.740573233833822,-0.41835849106008394,-0.002683386929759255,0.4114479467441787,0.08335928243278093,-0.8877118467461096,-0.13677834027772304,-0.8783822052095558,0.8199235530371337,-0.2683386929759255,0.0021439188487033553,0.5260958732503316,0.08539455501343098,-0.5769976965781836,-0.03450991496024901,-1.0604343272702204,1.160206356276471,0.21439188487033553,0.01874963790581823,0.3287452709623888,0.8209311500878212,1.0310734397428636,-0.019671241997836854,-0.6405813353507277,0.9977547503735951,1.8749637905818228,-0.07472289558016622,0.306546693799025,-0.6579215009698013,0.2654816829776334,-0.032748346312040294,-1.0568052732942395,0.49925828082889645,-7.472289558016621,306274.9310258997,346115.5724601631,378486.0936255021,400896.45443227526,425796.85532868985,352.94052699834106,560.8243076964022,669.682300713536,354.1420833115807,506.02480765732827
20240705 (7),2024-07-05 10:34:01.830643,2,16.1016,16.36134,16.20992,16.62028,16.62028,0,-2.1231356646218133e-17,2.77809181454469,0.03726544675350685,6.6316826582312345,0.01814983447930498,-13.348075043520394,13.643006414006633,-2.1316282072803006e-14,14.0,12.83,9.55,5.47,5.73,-0.01204275913071276,1.8819057535657082,0.017098979801285993,1.2380483455721318,0.01984041755253667,-5.039762170138571,5.218875557015509,-1.2163186722019887,-0.1758546444385447,5.483725290808494,-0.06998793839896672,-0.17076586857686538,-0.2020941902640038,-12.477375825122836,11.976341250069867,-17.761319088293014,0.27116988025889033,4.879653461708984,0.12509656206258618,1.1357473912019254,0.21990167255048837,-13.348075043520394,13.643006414006633,27.38815790614792,-0.08201471660047016,3.923741831890657,0.10317046270408427,-0.08019487631250266,-0.13365630735122122,-9.119638459597784,9.144663205291268,-8.283486376647486,-0.00861750057275138,1.480280579694506,-0.30267893631492854,-0.021286034571148083,0.017732217187657932,-3.3768564814054995,3.2473688277667754,-0.861750057275138,-0.04512864427802628,0.8509063539735732,0.04247484749352985,-0.955234792521642,-0.05173005857570005,-1.6488754528630751,1.8194055881100368,-4.5128644278026275,-0.10834060706459661,0.4397677864896731,-0.33047449285037284,-0.2791724921659182,-0.08179050225385179,-1.293367487900911,0.8199485535430913,-10.834060706459661,0.07513167899697008,0.6025899604647597,0.3546745936344806,0.053244444133473845,0.03046574363788597,-1.2483542922619868,1.6144281186916607,7.513167899697008,-0.0067116833186858125,0.36990859289537686,0.05013218173493971,-0.7971440861231738,0.03933984589854203,-0.8659199277873035,0.7700317845717367,-0.6711683318685813,0.09239641854703541,0.43559609656856546,-0.26594592604888395,-0.8237764806659502,0.20231550379107427,-0.8622603708622801,0.9340441448421657,9.23964185470354,306274.9310258997,313745.0512948241,346115.5724601631,378486.0936255021,428286.8954183313,341.8223663137836,353.47669867683817,560.6443055879178,658.5437530163701,535.6969020012959
20240705 (8),2024-07-05 10:34:06.828497,2,16.07992,16.27485,16.36134,16.53405,16.57718,0,8.846398602590889e-19,2.768067154598109,0.05204058380978666,6.44131381750465,-0.020961321816428444,-13.014733169163508,13.439652496785927,8.881784197001252e-16,13.99,12.93,8.99,5.58,6.91,-0.047518925880467154,1.8813419970343066,0.05103282125913364,1.0908847345413593,-0.17525655700014314,-4.762051478783017,5.006238616079449,-4.799411513927183,-0.1427517990592237,5.410994588711067,-0.04076751227711787,-0.19097166073791882,-0.060821991758522126,-12.132625153431063,11.80908796209565,-14.417931704981594,0.20246995814517132,4.9593314151557975,0.08617051267134979,0.921716176087418,0.04133024490721093,-13.014733169163508,13.439652496785927,20.449465772662304,-0.07724969805506797,3.9112291512335693,0.13249947933149686,-0.2468515167075922,-0.38625468634471427,-8.723502351656405,8.934961775051171,-7.802219503561865,0.04171607343664266,1.4408250571803731,-0.009882424861311858,0.015505043089462323,0.02726445929069378,-3.2714391559736886,3.6195395253629457,4.171607343664266,-0.00464921674982389,0.865559519146568,0.056934297949287706,-1.2176955417162267,-0.03401335899253573,-1.4887411376493458,1.6430380972817908,-0.464921674982389,0.0044722385064680445,0.40423862344907424,0.19565704650085614,-0.2941416187981196,-0.025718182279181833,-0.8262151524213954,1.0032573547839188,0.4472238506468045,-0.015536146586733723,0.4363423908443199,0.19133253133654424,-0.1719600066934892,-0.033025568412528336,-0.9432747625205593,1.2064900670191165,-1.5536146586733723,0.0057460503168095325,0.42557877882348283,0.20826266337292731,1.4770892837321465,0.0009409431059636333,-1.2119393565570147,1.5719811232157785,0.5746050316809532,0.03395197057472075,0.23822318489909508,-0.2923829954122204,0.07307471453365855,0.049832239953058514,-0.6924111270149218,0.6232598574899444,3.395197057472075,306274.9310258997,346115.5724601631,378486.0936255021,400896.45443227526,428286.8954183313,361.85088965989115,557.1896327478657,663.7886038600178,347.03651379192706,535.2619434110044
20240705 (10),2024-07-05 10:34:16.825596,2,16.07992,16.31811,16.27485,16.53405,16.51249,0,-1.4154237764145422e-17,2.78899035105465,-0.012808322722587922,6.41490530809363,-0.023958908181407196,-12.964751768634882,13.67719328582544,-1.4210854715202004e-14,13.99,12.73,9.16,5.66,6.49,-0.015704153006218174,2.058569816474429,0.005363690637702336,1.0817806693306808,-0.09955402115593644,-5.2455365419301,5.621759710372918,-1.5861194536280356,-0.21016730093121308,5.502028895211814,-0.10519625284663783,-0.1629802114586112,0.14212942657889488,-12.899074937707088,12.45488226534348,-21.22689739405252,0.2924703438233658,4.923491281487431,0.12348376542914317,0.9159577399504362,0.17399441101539478,-12.964751768634882,13.67719328582544,29.539504726159944,-0.0847674160134456,3.83010486195154,0.021798953552488735,-0.12464374330669692,-0.3702255612440483,-9.101182217370335,8.374319266405829,-8.561509017358006,0.016765138243879884,1.5039794520197813,0.09947653304677098,-0.0793151707684876,-0.013144828928821104,-3.504878411221631,3.506805554031419,1.6765138243879885,0.005334988981334385,0.9146226235128685,0.047583067537683064,-0.6972122435124724,-0.03717386554365428,-1.844396543753325,1.9720159036098164,0.5334988981334385,-0.037835602661266884,0.509840471371353,0.08688784448841697,0.6541129054160533,-0.04100973001885677,-1.4474952756640633,1.339312206761708,-3.7835602661266883,0.0360474892163477,0.5200114001986459,-0.28677609881646937,-0.2204302012719137,0.0027862609316766907,-1.383603968605856,1.0872581591118193,3.6047489216347697,0.0008725865514447431,0.3356438918425105,0.5002962826902131,-0.2369538166909897,-0.07532137507155004,-0.6570750839928211,0.9464968554208805,0.08725865514447431,-0.0028343889429537955,0.2409302901502511,-0.29370374986053194,-0.2293720842861191,0.033716518756029434,-0.6567444598985658,0.5389386475964888,-0.28343889429537955,346115.5724601631,378486.0936255021,400896.45443227526,413346.6548804826,425796.85532868985,573.121399943218,658.535065165434,348.59768013248157,363.6989333961356,523.8616050289262
20240705 (11),2024-07-05 10:34:21.823349,2,16.16661,16.27485,16.31811,16.57718,16.62028,0,3.361631468984538e-17,2.7837567113952484,-0.021632609497947337,6.6665133171346085,-0.03014032327939465,-13.123597027764303,13.80924423718187,3.375077994860476e-14,14.06,12.55,9.58,5.86,6.72,0.23749997607760054,1.9915546093475678,-0.45674986992674466,1.002890869602581,0.3909547814650214,-5.680522673889847,4.9136425945825914,23.987497583837655,-0.20488449023726513,5.510683819771728,-0.06309701233801938,-0.1477270402055182,-0.08653970460457994,-12.527581678683303,12.11858767066783,-20.69333351396378,0.16540880199315833,4.96779963625276,0.14035698277011188,0.954954696869537,-0.016804097941958675,-13.123597027764303,13.80924423718187,16.706289001308992,-0.04735378415836547,3.8318131128112163,-0.03084286615337229,-0.10386314005158326,-0.0882464141402366,-9.348120854710535,8.918766870775448,-4.782732199994912,-0.015928521279748722,1.4481108198077843,-0.026225024319186045,-0.09409502630821054,-0.0969627559550928,-3.7463802125545875,3.1536645578351106,-1.5928521279748722,-0.042312345021644084,0.773140619643831,-0.07062623725601452,-0.6713466259896634,0.08177979372019767,-1.923988605166418,1.6118557720615576,-4.231234502164408,-0.03662056470201899,0.4028903705757182,-0.23775088617574228,-0.7835724787977614,0.02202385094618753,-0.8886758853809859,0.7797176111045788,-3.6620564702018994,-0.019284064139314657,0.5172268390528586,0.3726814659426641,-0.3301642031722736,-0.01190455716425605,-1.0859582706845772,1.447600476255786,-1.9284064139314658,-0.024331333592932887,0.2628109055369674,0.33171657063721705,0.9484662497036158,-0.06853366819604129,-0.6761584594698798,0.7878592556937114,-2.4331333592932887,-0.013700379976220024,0.20685705987991992,1.0376190953749005,1.3183302757383135,-0.08006765101082422,-0.47036987739958,0.6273196760575951,-1.3700379976220023,306274.9310258997,346115.5724601631,378486.0936255021,413346.6548804826,428286.8954183313,348.9212434669048,569.9695051411254,655.5874057661626,339.911206682555,502.94728908568965
20240705 (13),2024-07-05 10:34:31.830420,2,16.07992,16.16661,16.31811,16.62028,16.53405,0,-6.192479021813622e-18,2.72969198318997,0.045331396307330046,6.618528238590631,-0.04909726853007431,-13.047266584554116,13.591636403311817,-6.217248937900877e-15,13.73,12.7,9.28,5.54,6.66,-0.05303125834045032,1.9508615632044584,0.13431336493766116,1.3268157916080883,-0.16313620544406837,-5.403199945224883,5.415909403266306,-5.356157092385482,-0.19346068514392245,5.344295866226053,-0.08064929011607577,-0.12739586510801093,0.20440875974552722,-12.226639045431511,11.9924560386205,-19.53952919953617,0.30149295450363933,4.84211229152286,0.1281217851091688,0.9990405304760883,-0.07378891390402284,-13.047266584554116,13.591636403311817,30.450788404867573,-0.07182752180294685,3.8778682695532734,0.09021712219651215,-0.14404348566372516,-0.4749374166980809,-9.075207518835747,8.731450278053318,-7.254579702097632,0.04230649118651195,1.4143002734601557,-0.17342438843129623,0.1241366217755564,0.20112275236937177,-3.7600977846255024,3.337177165586004,4.230649118651195,0.002392695876164791,0.7825942288654979,0.0883062653034093,-1.1009367721408898,-0.01248227983446297,-1.4590226439831906,1.6361585592022487,0.2392695876164791,0.036004010364440474,0.37837156234352476,0.33888729939191986,-0.6710123640578036,0.013566175607890352,-0.6427435874613865,0.9596133709533589,3.600401036444047,0.003482614122373504,0.4307497307076777,0.3859255801792882,-0.02648610881629576,-0.12886171972258498,-0.9359009274106769,1.045676998385315,0.3482614122373504,0.01514957547955797,0.28467629984401815,1.3449264691851144,2.518770703727979,-0.07600118993624022,-0.5257344851683184,1.1201663295102944,1.514957547955797,-0.08234061113753166,0.28323734944659884,-1.051053396985951,2.1069422778302025,0.004265105613556975,-1.1175026063489348,0.5744259672634471,-8.234061113753166,306274.9310258997,346115.5724601631,378486.0936255021,400896.45443227526,425796.85532868985,370.77250958897463,567.4548126639509,647.5296308731545,344.437010284084,500.38978504688396
20240705 (15),2024-07-05 10:34:41.830936,2,16.05823,16.18827,16.27485,16.53405,16.64182,0,2.4769916087254488e-17,2.787809306100179,-0.003857810693458052,6.44456536918816,-0.01622275309413531,-13.346563774526622,13.16809405193045,2.4868995751603507e-14,13.49,12.66,9.54,5.69,6.93,-0.001731793096163541,1.9953352981492545,-0.05857761744692936,1.2229653719082334,-0.008587899503152077,-5.525659285678498,5.408576722630248,-0.17491110271251764,-0.1548662156459684,5.476329099125812,-0.04921379113564321,-0.13993107316243192,-0.08621110864963993,-12.495641236117159,12.218357447632634,-15.641487780242809,0.21303575111733156,4.947170091032966,0.07084204445774274,0.8448097963505732,0.13825614496777353,-13.346563774526622,13.16809405193045,21.516610862850488,-0.04492077373545535,3.917812973632203,-0.013198589326835859,-0.07096547723446855,-0.05167044953958362,-9.298827959614998,8.905176979052925,-4.53699814728099,0.01401786600190932,1.48466273493751,0.0797118663995466,-0.1307994192859656,-0.06295683308503179,-3.471890137805385,3.357257253400997,1.401786600190932,-0.022243525609741,0.7921910414820157,-0.00014571020705141837,-1.1771170950379448,-0.027394305509143218,-1.4223604684016469,1.6261181033762748,-2.2243525609741,0.0005684530654664383,0.36826047357600733,-0.03475266506805377,-0.6344056943293093,-0.03237852015499014,-0.8609354902781747,0.743642810113422,0.056845306546643826,0.018288461264066913,0.4486653562655974,-0.20515688274087732,-0.9052538144086455,0.040222683050199264,-0.9972498084552985,0.8277211785700175,1.8288461264066913,-0.016914026416116022,0.38775400294793944,0.004331858231865628,-0.44911227356495953,-0.0008534608109889482,-0.8612983639168329,0.7940305125577011,-1.6914026416116024,-0.0053493666317270564,0.3223862155888079,0.5295222556363158,1.0292932065601903,-0.0724094814524674,-0.8071759161351157,1.1731232117161565,-0.5349366631727056,306274.9310258997,313745.0512948241,348605.61254980456,378486.0936255021,428286.8954183313,358.3119956465005,358.9271451874947,570.6770625367917,661.4741780571337,526.2475003851866
