Time	Channel A	Channel B
(us)	(V)	(mV)

-4.49999956	0.00000000	-15.99409000
-4.29999957	0.00000000	-16.44316000
-4.09999958	0.00000000	-16.45546000
-3.89999959	0.00000000	-16.85531000
-3.69999960	0.00000000	-16.80610000
-3.49999962	0.00000000	-16.04331000
-3.29999963	0.00000000	-15.68036000
-3.09999964	0.00000000	-16.04331000
-2.89999965	0.00000000	-16.85531000
-2.69999966	0.00000000	-17.26747000
-2.49999968	0.00000000	-17.31668000
-2.29999969	0.00000000	-17.31668000
-2.09999970	0.00000000	-17.26747000
-1.89999971	0.00000000	-16.90453000
-1.69999972	0.00000000	-16.50467000
-1.49999973	0.00000000	-16.90453000
-1.29999975	0.00000000	-17.26747000
-1.09999976	0.00000000	-17.26747000
-0.89999977	0.00000000	-16.90453000
-0.69999978	0.00000000	-16.45546000
-0.49999979	0.00000000	-16.49237000
-0.29999981	0.35125490	-16.40625000
-0.09999982	0.70250980	-16.49237000
0.10000017	1.05376500	-16.45546000
0.30000016	0.87844490	-16.90453000
0.50000015	0.70250980	-17.26747000
0.70000013	0.00000000	-17.31668000
0.90000012	-0.87844490	-17.31668000
1.10000011	-1.93282500	-17.26747000
1.30000010	-2.63533500	-16.85531000
1.50000009	-2.81127000	-16.04331000
1.70000008	-2.10814500	-15.63115000
1.90000006	-0.70250980	-15.58194000
2.10000005	1.22970000	-15.58194000
2.30000004	3.33846000	-15.53273000
2.50000003	4.91941500	-15.21900000
2.70000002	5.27128500	-15.23130000
2.90000000	4.21690500	-16.44931000
3.09999999	1.93282500	-17.21826000
3.29999998	-1.40563500	-17.26747000
3.49999997	-4.74409400	-16.80610000
3.69999996	-7.20410900	-15.58194000
3.89999994	-7.90661900	-14.36393000
4.09999993	-6.67691900	-13.90256000
4.29999992	-3.68971500	-13.85334000
4.49999991	0.52657480	-13.85334000
4.69999990	4.91941500	-13.90256000
4.89999989	8.08255400	-14.36393000
5.09999987	9.31225400	-15.58194000
5.29999986	8.25849000	-16.80610000
5.49999985	5.09534900	-17.26747000
5.69999984	0.52657480	-17.31668000
5.89999983	-4.21690500	-17.26747000
6.09999981	-7.73129900	-16.80610000
6.29999980	-9.48818900	-15.63115000
6.49999979	-8.78567900	-14.76993000
6.69999978	-5.79847400	-14.71457000
6.89999977	-1.58095500	-14.26550000
7.09999975	2.63533500	-13.95177000
7.29999974	5.97379400	-14.31471000
7.49999973	7.55536400	-15.16978000
7.69999972	7.20410900	-15.99409000
7.89999971	5.09534900	-16.85531000
8.09999970	1.93282500	-17.26747000
8.29999968	-1.22970000	-17.31668000
8.49999967	-3.68971500	-17.26747000
8.69999966	-5.09534900	-16.85531000
8.89999965	-4.91941500	-16.04331000
9.09999964	-3.68971500	-15.68036000
9.29999962	-1.75689000	-15.99409000
9.49999961	0.17531990	-16.39395000
9.69999960	1.58095500	-16.04331000
9.89999959	2.45940000	-16.09252000
10.09999958	2.45940000	-16.85531000
10.29999956	1.75689000	-17.26747000
