Time	Channel A	Channel B	Channel C
(us)	(V)	(mV)	(mV)

-4.49999956	0.00000000	-91.70767000	-39.47465000
-4.29999957	0.00000000	-91.70767000	-39.47465000
-4.09999958	0.00000000	-91.70767000	-39.47465000
-3.89999959	0.00000000	-91.70767000	-39.47465000
-3.69999960	0.00000000	-91.70767000	-39.47465000
-3.49999962	0.00000000	-91.70767000	-39.47465000
-3.29999963	0.00000000	-91.70767000	-39.43159000
-3.09999964	0.00000000	-91.70767000	-39.09941000
-2.89999965	0.00000000	-91.70767000	-38.73031000
-2.69999966	0.00000000	-91.70767000	-39.09941000
-2.49999968	0.00000000	-91.70767000	-39.43159000
-2.29999969	0.00000000	-91.70767000	-39.47465000
-2.09999970	0.00000000	-91.75073000	-39.43159000
-1.89999971	0.00000000	-92.08292000	-39.09941000
-1.69999972	0.00000000	-92.49507000	-38.73031000
-1.49999973	0.00000000	-92.45816000	-39.09941000
-1.29999975	0.00000000	-92.49507000	-39.43159000
-1.09999976	0.00000000	-92.08292000	-39.47465000
-0.89999977	0.00000000	-91.75073000	-39.47465000
-0.69999978	0.00000000	-91.75073000	-39.47465000
-0.49999979	0.00000000	-92.08292000	-39.47465000
-0.29999981	0.31803640	-92.49507000	-39.47465000
-0.09999982	0.63668800	-92.50123000	-39.47465000
0.10000017	0.95533960	-92.87032000	-39.47465000
0.30000016	0.95533960	-92.87032000	-39.47465000
0.50000015	0.79601380	-92.54428000	-39.47465000
0.70000013	0.15871060	-92.91338000	-39.47465000
0.90000012	-0.47736220	-93.24557000	-39.47465000
1.10000011	-1.59264300	-93.24557000	-39.47465000
1.30000010	-2.38927200	-92.91338000	-39.47465000
1.50000009	-2.86724900	-92.54428000	-39.47465000
1.70000008	-2.38927200	-92.87032000	-39.47465000
1.90000006	-1.27399100	-92.87032000	-39.47465000
2.10000005	0.63668800	-92.54428000	-39.47465000
2.30000004	2.70792300	-92.91338000	-39.51771000
2.50000003	4.45989200	-93.24557000	-39.89296000
2.70000002	5.25652100	-93.28863000	-40.63730000
2.90000000	4.77854300	-93.28863000	-41.01255000
3.09999999	2.86724900	-93.28863000	-41.05561000
3.29999998	-0.31803640	-93.28863000	-41.05561000
3.49999997	-3.66326300	-93.28863000	-41.01255000
3.69999996	-6.53112700	-93.28863000	-40.63730000
3.89999994	-7.96444400	-93.24557000	-39.89296000
4.09999993	-7.48646600	-92.91338000	-39.51771000
4.29999992	-4.93786900	-92.54428000	-39.47465000
4.49999991	-0.95533960	-92.91338000	-39.47465000
4.69999990	3.50393700	-93.24557000	-39.47465000
4.89999989	7.32714100	-93.28863000	-39.47465000
5.09999987	9.23905000	-93.28863000	-39.51771000
5.29999986	9.07972400	-93.28863000	-39.89296000
5.49999985	6.37180100	-93.28863000	-40.63730000
5.69999984	2.07062000	-93.28863000	-40.96333000
5.89999983	-2.70792300	-93.28863000	-40.63730000
6.09999981	-6.69045300	-93.24557000	-39.89296000
6.29999980	-9.23905000	-92.87032000	-39.51771000
6.49999979	-9.23905000	-92.17519000	-39.47465000
6.69999978	-7.00848900	-92.12598000	-39.47465000
6.89999977	-3.18590100	-92.45201000	-39.43159000
7.09999975	1.11466500	-92.12598000	-39.09941000
7.29999974	4.93786900	-92.17519000	-38.73031000
7.49999973	7.32714100	-92.87032000	-39.09941000
7.69999972	7.64579200	-93.19635000	-39.43159000
7.89999971	6.05315000	-92.91338000	-39.47465000
8.09999970	3.34522600	-92.54428000	-39.47465000
8.29999968	0.00000000	-92.91338000	-39.47465000
8.49999967	-3.02657500	-93.19635000	-39.47465000
8.69999966	-4.77854300	-92.87032000	-39.47465000
8.89999965	-5.25652100	-92.12598000	-39.47465000
9.09999964	-4.45989200	-91.75073000	-39.47465000
9.29999962	-2.70792300	-91.70767000	-39.47465000
9.49999961	-0.63668800	-91.75073000	-39.47465000
9.69999960	1.11466500	-92.12598000	-39.47465000
9.89999959	2.22994600	-92.82111000	-39.47465000
10.09999958	2.54859700	-92.87032000	-39.47465000
10.29999956	2.22994600	-92.54428000	-39.47465000
10.49999955	1.43331700	-92.87032000	-39.47465000
10.69999954	0.47736220	-92.82111000	-39.47465000
10.89999953	-0.31803640	-92.12598000	-39.47465000
11.09999952	-0.79601380	-91.79995000	-39.47465000
11.29999951	-0.95533960	-92.12598000	-39.47465000
11.49999949	-0.95533960	-92.87032000	-39.47465000
11.69999948	-0.79601380	-93.19635000	-39.47465000
11.89999947	-0.47736220	-92.91338000	-39.47465000
12.09999946	-0.15871060	-92.50123000	-39.47465000
12.29999945	-0.15871060	-92.49507000	-39.47465000
12.49999943	-0.15871060	-92.12598000	-39.47465000
12.69999942	0.00000000	-92.17519000	-39.47465000
12.89999941	0.00000000	-92.82111000	-39.47465000
13.09999940	0.00000000	-92.82111000	-39.47465000
13.29999939	0.00000000	-92.17519000	-39.47465000
13.49999937	0.00000000	-92.17519000	-39.47465000
13.69999936	0.00000000	-92.87032000	-39.47465000
13.89999935	-0.15871060	-93.24557000	-39.47465000
14.09999934	-0.15871060	-93.24557000	-39.47465000
14.29999933	-0.15871060	-92.91338000	-39.47465000
14.49999932	-0.15871060	-92.54428000	-39.47465000
14.69999930	-0.15871060	-92.91338000	-39.47465000
14.89999929	0.00000000	-93.24557000	-39.47465000
15.09999928	0.00000000	-93.28863000	-39.47465000
15.29999927	0.00000000	-93.28863000	-39.47465000
15.49999926	0.00000000	-93.28863000	-39.47465000
15.69999924	0.00000000	-93.28863000	-39.47465000
15.89999923	0.00000000	-93.28863000	-39.47465000
16.09999922	0.00000000	-93.28863000	-39.47465000
16.29999921	-0.15871060	-93.24557000	-39.47465000
16.49999920	-0.15871060	-92.87032000	-39.47465000
16.69999919	-0.15871060	-92.12598000	-39.47465000
16.89999917	-0.15871060	-91.75073000	-39.47465000
17.09999916	-0.15871060	-91.70767000	-39.47465000
17.29999915	0.00000000	-91.66460000	-39.47465000
17.49999914	0.00000000	-91.33242000	-39.47465000
17.69999913	0.00000000	-91.01255000	-39.47465000
17.89999911	0.00000000	-91.79995000	-39.47465000
18.09999910	0.00000000	-93.28863000	-39.47465000
18.29999909	0.00000000	-94.86958000	-39.47465000
18.49999908	0.00000000	-96.40748000	-39.47465000
18.69999907	-0.15871060	-97.56396000	-39.47465000
18.89999905	-0.15871060	-97.93922000	-39.47465000
19.09999904	-0.15871060	-97.52091000	-39.47465000
19.29999903	-0.15871060	-95.93995000	-39.47465000
19.49999902	0.00000000	-93.19635000	-39.47465000
19.69999901	0.00000000	-89.70841000	-39.47465000
19.89999900	0.00000000	-85.85137000	-39.47465000
20.09999898	0.00000000	-82.81864000	-39.47465000
20.29999897	0.00000000	-81.70521000	-39.47465000
20.49999896	0.00000000	-83.28617000	-39.47465000
20.69999895	0.00000000	-87.61073000	-39.47465000
20.89999894	-0.15871060	-94.21751000	-39.47465000
21.09999892	-0.15871060	-102.26990000	-39.47465000
21.29999891	0.00000000	-109.20280000	-39.47465000
21.49999890	-0.15871060	-113.06590000	-39.47465000
21.69999889	0.00000000	-113.34280000	-39.47465000
21.89999888	0.00000000	-108.59990000	-39.47465000
22.09999886	0.00000000	-98.97268000	-39.47465000
22.29999885	0.00000000	-86.92175000	-39.47465000
22.49999884	0.00000000	-74.58784000	-39.47465000
22.69999883	0.00000000	-64.63460000	-39.47465000
22.89999882	0.00000000	-60.80831000	-39.43159000
23.09999881	0.00000000	-63.92716000	-39.05635000
23.29999879	0.00000000	-73.74507000	-38.31200000
23.49999878	-0.15871060	-89.60999000	-37.93676000
23.69999877	0.00000000	-108.08320000	-37.89370000
23.89999876	-0.15871060	-124.28030000	-37.89370000
24.09999875	0.00000000	-134.28270000	-37.93676000
24.29999873	0.00000000	-135.35310000	-38.36122000
24.49999872	0.00000000	-126.37790000	-39.51771000
24.69999871	0.00000000	-108.59990000	-41.05561000
24.89999870	0.00000000	-85.85137000	-42.58735000
25.09999869	-0.15871060	-63.88410000	-43.74385000
25.29999867	0.00000000	-48.01919000	-44.11909000
25.49999866	-0.15871060	-41.87376000	-43.70079000
25.69999865	0.00000000	-46.94882000	-42.07677000
25.89999864	0.00000000	-62.85679000	-39.00713000
26.09999863	0.00000000	-86.35580000	-35.15625000
26.29999862	0.00000000	-111.81100000	-31.66830000
26.49999860	0.00000000	-132.65870000	-28.97392000
26.69999859	0.00000000	-144.28520000	-27.90354000
26.89999858	0.00000000	-144.28520000	-29.48450000
27.09999857	0.00000000	-132.70180000	-33.75369000
27.29999856	0.00000000	-112.22930000	-39.98523000
27.49999854	0.00000000	-87.51845000	-47.32406000
27.69999853	-0.15871060	-64.34547000	-54.24458000
27.89999852	0.00000000	-48.11146000	-58.80290000
28.09999851	-0.15871060	-42.29823000	-59.54724000
28.29999850	0.00000000	-48.01919000	-55.60408000
28.49999848	0.00000000	-63.41658000	-47.46555000
28.69999847	0.00000000	-84.27042000	-36.26968000
28.89999846	0.00000000	-105.94860000	-24.69857000
29.09999845	0.00000000	-123.76970000	-15.45275000
29.29999844	0.00000000	-134.23970000	-10.48228000
29.49999843	0.00000000	-135.44540000	-11.73105000
29.69999841	0.00000000	-127.39300000	-19.44513000
29.89999840	-0.15871060	-112.73370000	-32.22195000
30.09999839	0.00000000	-94.96185000	-47.27485000
30.29999838	0.00000000	-77.93430000	-61.58341000
30.49999837	0.00000000	-65.50812000	-71.94881000
30.69999835	0.00000000	-59.60260000	-75.80585000
30.89999834	0.00000000	-60.72219000	-71.90575000
31.09999833	0.00000000	-68.07332000	-61.07898000
31.29999832	0.00000000	-80.03198000	-45.23868000
31.49999831	0.00000000	-93.94069000	-27.86048000
31.69999829	0.00000000	-106.36690000	-12.80143000
31.89999828	-0.15871060	-115.29900000	-3.14345500
32.09999827	0.00000000	-119.20520000	-1.23646700
32.29999826	0.00000000	-117.29820000	-7.36958600
32.49999825	0.00000000	-110.73450000	-20.14641000
32.69999824	-0.15871060	-100.68900000	-36.78026000
32.89999822	0.00000000	-89.56693000	-54.15846000
33.09999821	0.00000000	-80.63483000	-68.42396000
33.29999820	0.00000000	-75.51672000	-76.22416000
33.49999819	0.00000000	-74.31102000	-76.64246000
33.69999818	0.00000000	-77.05462000	-69.99876000
33.89999816	0.00000000	-83.19389000	-56.84670000
34.09999815	0.00000000	-91.28937000	-39.93602000
34.29999814	0.00000000	-99.01575000	-23.72047000
34.49999813	0.00000000	-104.78590000	-11.68799000
34.69999812	0.00000000	-107.11120000	-5.88090500
34.89999810	0.00000000	-105.25340000	-7.41264700
35.09999809	-0.15871060	-100.68900000	-15.87106000
35.29999808	0.00000000	-94.86958000	-29.01698000
35.49999807	0.00000000	-89.09940000	-44.03297000
35.69999806	0.00000000	-84.86712000	-57.54798000
35.89999805	0.00000000	-83.32922000	-66.01254000
36.09999803	0.00000000	-84.82406000	-67.99950000
36.29999802	0.00000000	-88.63803000	-63.03519000
36.49999801	0.00000000	-93.24557000	-53.04503000
36.69999800	0.00000000	-97.52091000	-40.72342000
36.89999799	-0.15871060	-100.59670000	-28.78937000
37.09999797	0.00000000	-101.71630000	-20.74311000
37.29999796	0.00000000	-100.17840000	-18.37475000
37.49999795	-0.15871060	-96.36441000	-22.18873000
37.69999794	0.00000000	-91.75073000	-30.59793000
37.89999793	0.00000000	-87.47539000	-40.92027000
38.09999791	0.00000000	-84.39960000	-50.11687000
38.29999790	0.00000000	-83.24310000	-55.13656000
38.49999789	0.00000000	-84.39960000	-55.18577000
38.69999788	0.00000000	-87.47539000	-50.53518000
38.89999787	0.00000000	-91.70767000	-42.11983000
39.09999786	0.00000000	-95.98302000	-32.59719000
39.29999784	0.00000000	-99.47710000	-25.30143000
39.49999783	-0.15871060	-101.80240000	-22.23179000
39.69999782	0.00000000	-102.17770000	-24.18799000
39.89999781	0.00000000	-100.64590000	-31.06545000
40.09999780	0.00000000	-97.52091000	-40.63730000
40.29999778	0.00000000	-93.28863000	-49.84006000
40.49999777	0.00000000	-89.01328000	-56.34227000
40.69999776	0.00000000	-85.51919000	-57.87401000
40.89999775	0.00000000	-83.19389000	-54.06619000
41.09999774	0.00000000	-82.81864000	-46.39517000
41.29999772	0.00000000	-84.31348000	-36.78026000
41.49999771	0.00000000	-87.05708000	-27.94660000
41.69999770	0.00000000	-90.59423000	-22.14567000
41.89999769	-0.15871060	-94.82652000	-20.60777000
42.09999768	0.00000000	-98.64050000	-23.67741000
42.29999767	0.00000000	-100.64590000	-30.59793000
42.49999765	0.00000000	-101.06420000	-39.38238000
42.69999764	0.00000000	-100.27070000	-47.46555000
42.89999763	0.00000000	-97.94537000	-52.53445000
43.09999762	0.00000000	-94.91264000	-54.15846000
43.29999761	0.00000000	-92.17519000	-52.57751000
43.49999759	0.00000000	-90.21899000	-47.97613000
43.69999758	0.00000000	-89.01328000	-41.47392000
43.89999757	0.00000000	-88.63803000	-35.33464000
44.09999756	0.00000000	-89.01328000	-31.06545000
44.29999755	0.00000000	-90.08366000	-29.48450000
44.49999753	0.00000000	-90.82184000	-30.55487000
44.69999752	0.00000000	-90.50197000	-33.24926000
44.89999751	0.00000000	-90.21899000	-36.73105000
45.09999750	-0.15871060	-90.59423000	-40.58809000
45.29999749	0.00000000	-91.75073000	-43.70079000
45.49999748	0.00000000	-93.33169000	-45.61392000
45.69999746	0.00000000	-95.33710000	-46.01993000
45.89999745	-0.15871060	-98.08070000	-44.53740000
46.09999744	0.00000000	-101.06420000	-42.58735000
46.29999743	0.00000000	-102.96500000	-40.26205000
46.49999742	0.00000000	-102.55290000	-37.57381000
46.69999740	0.00000000	-100.17840000	-36.02977000
46.89999739	0.00000000	-95.52164000	-35.24852000
47.09999738	0.00000000	-89.33932000	-35.66683000
47.29999737	0.00000000	-83.56299000	-37.56767000
47.49999736	0.00000000	-78.96161000	-39.84990000
47.69999734	0.00000000	-77.51599000	-42.21210000
47.89999733	0.00000000	-80.16732000	-44.11909000
48.09999732	0.00000000	-85.98056000	-45.28174000
48.29999731	0.00000000	-93.75615000	-45.28174000
48.49999730	0.00000000	-102.22690000	-44.11909000
48.69999729	0.00000000	-109.11050000	-42.16904000
48.89999727	0.00000000	-112.18630000	-39.42544000
49.09999726	0.00000000	-110.64840000	-36.36196000
49.29999725	0.00000000	-104.82900000	-33.71063000
49.49999724	0.00000000	-95.98917000	-32.59719000
49.69999723	0.00000000	-86.35580000	-33.71063000
49.89999721	0.00000000	-78.63557000	-36.40502000
50.09999720	0.00000000	-74.39714000	-39.89296000
50.29999719	0.00000000	-74.82160000	-43.74385000
50.49999718	0.00000000	-80.16732000	-46.81348000
50.69999717	0.00000000	-88.63803000	-48.35138000
50.89999715	0.00000000	-97.89616000	-47.97613000
51.09999714	0.00000000	-105.99160000	-45.65698000
51.29999713	0.00000000	-110.60530000	-42.21210000
51.49999712	-0.15871060	-110.60530000	-38.26894000
51.69999711	0.00000000	-105.99160000	-34.45497000
51.89999710	0.00000000	-97.94537000	-31.39149000
52.09999708	0.00000000	-89.09940000	-30.64099000
52.29999707	0.00000000	-81.79749000	-32.08661000
52.49999706	0.00000000	-77.98351000	-34.82406000
52.69999705	0.00000000	-79.05388000	-38.31200000
52.89999704	0.00000000	-84.03050000	-42.16904000
53.09999702	-0.15871060	-90.96333000	-45.18947000
53.29999701	0.00000000	-98.64050000	-46.39517000
53.49999700	-0.15871060	-104.36760000	-45.65698000
53.69999699	0.00000000	-106.32380000	-43.75000000
53.89999698	0.00000000	-104.45990000	-41.05561000
54.09999696	0.00000000	-99.43405000	-38.36122000
54.29999695	0.00000000	-92.91338000	-36.40502000
54.49999694	0.00000000	-86.40501000	-35.24852000
54.69999693	0.00000000	-82.17273000	-35.29158000
54.89999692	0.00000000	-81.37302000	-36.78026000
55.09999691	0.00000000	-83.66141000	-39.00713000
55.29999689	0.00000000	-88.63803000	-40.54502000
55.49999688	0.00000000	-94.40206000	-40.96333000
55.69999687	0.00000000	-99.43405000	-40.58809000
55.89999686	-0.15871060	-102.92200000	-39.38238000
56.09999685	0.00000000	-103.67250000	-37.51845000
56.29999683	0.00000000	-101.75930000	-35.66683000
56.49999682	0.00000000	-97.52091000	-35.33464000
56.69999681	0.00000000	-92.17519000	-36.82332000
56.89999680	0.00000000	-87.51845000	-39.51771000
57.09999679	0.00000000	-84.44881000	-42.58735000
57.29999677	0.00000000	-83.66141000	-45.23868000
57.49999676	0.00000000	-85.56225000	-46.35211000
57.69999675	0.00000000	-88.96407000	-45.18947000
57.89999674	0.00000000	-92.87032000	-42.11983000
58.09999673	0.00000000	-96.31520000	-37.85064000
58.29999672	0.00000000	-98.64050000	-33.24926000
58.49999670	0.00000000	-99.05880000	-29.43528000
58.69999669	0.00000000	-97.93922000	-27.94660000
58.89999668	0.00000000	-95.98302000	-29.48450000
59.09999667	0.00000000	-93.28863000	-33.71063000
59.29999666	0.00000000	-90.63730000	-39.51771000
59.49999664	0.00000000	-89.09940000	-45.65698000
59.69999663	0.00000000	-89.05634000	-50.67052000
59.89999662	0.00000000	-90.16978000	-52.95275000
60.09999661	0.00000000	-91.70767000	-52.15920000
60.29999660	-0.15871060	-93.24557000	-47.88385000
60.49999658	0.00000000	-94.40206000	-41.00639000
60.69999657	0.00000000	-94.82652000	-33.71063000
60.89999656	0.00000000	-94.82652000	-27.90354000
61.09999655	0.00000000	-94.40206000	-24.83391000
61.29999654	0.00000000	-93.28863000	-25.25221000
61.49999653	0.00000000	-92.17519000	-29.48450000
61.69999651	0.00000000	-91.79995000	-36.40502000
61.89999650	0.00000000	-92.12598000	-44.11909000
62.09999649	0.00000000	-92.91338000	-51.04576000
62.29999648	-0.15871060	-93.66387000	-55.27190000
62.49999647	-0.15871060	-94.45127000	-55.69020000
62.69999645	0.00000000	-94.82652000	-52.62057000
62.89999644	0.00000000	-94.82652000	-46.81348000
63.09999643	0.00000000	-94.40206000	-39.47465000
63.29999642	0.00000000	-93.28863000	-32.17888000
63.49999641	0.00000000	-92.12598000	-26.79011000
63.69999639	0.00000000	-91.33242000	-24.84006000
63.89999638	0.00000000	-90.59423000	-26.32874000
64.09999637	0.00000000	-90.63730000	-30.55487000
64.29999636	0.00000000	-91.75073000	-36.36196000
64.49999635	-0.15871060	-93.24557000	-42.58735000
64.69999634	0.00000000	-94.45127000	-48.35138000
64.89999632	0.00000000	-95.20176000	-52.20226000
65.09999631	0.00000000	-95.61392000	-52.99581000
65.29999630	0.00000000	-95.20176000	-51.08883000
65.49999629	0.00000000	-94.45127000	-46.85654000
65.69999628	0.00000000	-93.28863000	-41.47392000
65.89999626	0.00000000	-92.17519000	-36.44808000
66.09999625	0.00000000	-91.79995000	-32.50492000
66.29999624	0.00000000	-92.17519000	-30.17962000
66.49999623	0.00000000	-93.33169000	-29.34916000
66.69999622	0.00000000	-94.82652000	-30.17962000
66.89999620	0.00000000	-95.93995000	-32.41265000
67.09999619	0.00000000	-95.98302000	-35.56225000
67.29999618	0.00000000	-95.20176000	-38.68725000
67.49999617	-0.15871060	-93.98376000	-42.21210000
67.69999616	0.00000000	-91.66460000	-45.28174000
67.89999615	0.00000000	-89.05634000	-47.28100000
68.09999613	0.00000000	-87.51845000	-48.43750000
68.29999612	0.00000000	-87.51845000	-48.39444000
68.49999611	0.00000000	-89.09940000	-46.85654000
68.69999610	0.00000000	-92.17519000	-44.07603000
68.89999609	-0.15871060	-96.03223000	-40.21899000
69.09999607	0.00000000	-99.47710000	-35.57455000
