Time	Channel A	Channel B	Channel C
(us)	(V)	(mV)	(mV)

-4.09999969	0.00000000	-73.52669000	-4.73671200
-3.89999971	0.00000000	-71.15526000	-3.15575800
-3.69999972	0.00000000	-72.73621000	-5.52411400
-3.49999973	0.00000000	-73.52669000	-4.73671200
-3.29999974	0.00000000	-73.52669000	-4.73671200
-3.09999975	0.00000000	-72.73621000	-4.73671200
-2.89999977	0.00000000	-72.73621000	-5.52411400
-2.69999978	0.00000000	-72.73621000	-4.73671200
-2.49999979	0.00000000	-72.73621000	-4.73671200
-2.29999980	0.00000000	-73.52669000	-4.73671200
-2.09999981	0.00000000	-73.52669000	-4.73671200
-1.89999982	0.00000000	-72.73621000	-4.73671200
-1.69999984	0.00000000	-71.94574000	-5.52411400
-1.49999985	0.00000000	-72.73621000	-4.73671200
-1.29999986	0.00000000	-72.73621000	-4.73671200
-1.09999987	0.00000000	-73.52669000	-3.94623500
-0.89999988	0.00000000	-72.73621000	-5.52411400
-0.69999990	0.00000000	-72.73621000	-5.52411400
-0.49999991	0.00000000	-72.73621000	-4.73671200
-0.29999992	0.31803640	-72.73621000	-4.73671200
-0.09999993	0.63668800	-72.73621000	-4.73671200
0.10000006	0.95533960	-72.73621000	-4.73671200
0.30000004	0.95533960	-72.73621000	-4.73671200
0.50000003	0.79601380	-71.94574000	-4.73671200
0.70000002	0.31803640	-72.73621000	-4.73671200
0.90000001	-0.31803640	-74.31717000	-5.52411400
1.10000000	-1.27399100	-74.31717000	-5.52411400
1.29999999	-2.22994600	-74.31717000	-4.73671200
1.49999997	-2.70792300	-75.10764000	-5.52411400
1.69999996	-2.70792300	-75.10764000	-4.73671200
1.89999995	-1.91129400	-74.31717000	-5.52411400
2.09999994	-0.47736220	-73.52669000	-4.73671200
2.29999993	1.27399100	-71.94574000	-4.73671200
2.49999991	3.34522600	-71.15526000	-4.73671200
2.69999990	4.93786900	-70.36478000	-4.73671200
2.89999989	5.41584600	-69.57431000	-4.73671200
3.09999988	4.77854300	-70.36478000	-4.73671200
3.29999987	2.70792300	-71.15526000	-4.73671200
3.49999985	-0.15871060	-72.73621000	-5.52411400
3.69999984	-3.34522600	-74.31717000	-5.52411400
3.89999983	-6.21247500	-75.89813000	-5.52411400
4.09999982	-7.80511800	-77.47908000	-5.52411400
4.29999981	-7.80511800	-77.47908000	-5.52411400
4.49999980	-6.05315000	-76.68861000	-5.52411400
4.69999978	-2.70792300	-74.31717000	-4.73671200
4.89999977	1.59264300	-71.94574000	-4.73671200
5.09999976	5.57517200	-68.78383000	-3.94623500
5.29999975	8.44242100	-67.19980000	-3.94623500
5.49999974	9.55770200	-66.40932000	-4.73671200
5.69999972	8.60174700	-66.40932000	-4.73671200
5.89999971	5.57517200	-69.57431000	-4.73671200
6.09999970	1.43331700	-71.15526000	-4.73671200
6.29999969	-3.18590100	-75.10764000	-5.52411400
6.49999968	-7.00848900	-78.26956000	-6.31459100
6.69999967	-9.23905000	-79.06004000	-6.31459100
6.89999965	-9.39837600	-78.26956000	-6.31459100
7.09999964	-7.48646600	-77.47908000	-5.52411400
7.29999963	-3.98191400	-75.10764000	-4.73671200
7.49999962	0.00000000	-72.73621000	-4.73671200
7.69999961	3.98191400	-71.15526000	-3.94623500
7.89999959	6.84916400	-68.78383000	-4.73671200
8.09999958	7.80511800	-68.78383000	-4.73671200
8.29999957	7.16781500	-69.57431000	-4.73671200
8.49999956	5.09719500	-70.36478000	-4.73671200
8.69999955	1.91129400	-71.94574000	-5.52411400
8.89999953	-1.11466500	-73.52669000	-5.52411400
9.09999952	-3.66326300	-74.31717000	-5.52411400
9.29999951	-5.09719500	-75.10764000	-5.52411400
9.49999950	-5.25652100	-75.10764000	-5.52411400
9.69999949	-4.30056600	-75.10764000	-5.52411400
9.89999948	-2.54859700	-74.31717000	-4.73671200
10.09999946	-0.63668800	-72.73621000	-5.52411400
10.29999945	1.11466500	-71.94574000	-4.73671200
10.49999944	2.22994600	-71.94574000	-4.73671200
10.69999943	2.54859700	-71.94574000	-4.73671200
10.89999942	2.38927200	-71.94574000	-4.73671200
11.09999940	1.59264300	-71.94574000	-4.73671200
11.29999939	0.79601380	-73.52669000	-5.52411400
11.49999938	0.00000000	-71.94574000	-3.94623500
11.69999937	-0.63668800	-74.31717000	-4.73671200
11.89999936	-0.95533960	-73.52669000	-4.73671200
12.09999934	-0.95533960	-73.52669000	-4.73671200
12.29999933	-0.79601380	-73.52669000	-4.73671200
12.49999932	-0.47736220	-73.52669000	-5.52411400
12.69999931	-0.15871060	-72.73621000	-4.73671200
12.89999930	0.00000000	-73.52669000	-4.73671200
13.09999929	0.00000000	-73.52669000	-4.73671200
13.29999927	0.00000000	-73.52669000	-4.73671200
13.49999926	-0.15871060	-73.52669000	-5.52411400
13.69999925	-0.15871060	-73.52669000	-5.52411400
13.89999924	0.00000000	-73.52669000	-4.73671200
14.09999923	0.00000000	-71.94574000	-5.52411400
14.29999921	0.00000000	-71.15526000	-4.73671200
14.49999920	0.00000000	-71.15526000	-4.73671200
14.69999919	0.00000000	-71.94574000	-5.52411400
14.89999918	0.00000000	-71.94574000	-4.73671200
15.09999917	0.00000000	-72.73621000	-5.52411400
15.29999915	0.00000000	-72.73621000	-5.52411400
15.49999914	0.00000000	-72.73621000	-5.52411400
15.69999913	0.00000000	-73.52669000	-4.73671200
15.89999912	0.00000000	-73.52669000	-4.73671200
16.09999911	0.00000000	-74.31717000	-5.52411400
16.29999910	-0.15871060	-74.31717000	-5.52411400
16.49999908	0.00000000	-75.10764000	-4.73671200
16.69999907	0.00000000	-75.10764000	-5.52411400
16.89999906	0.00000000	-74.31717000	-4.73671200
17.09999905	0.00000000	-73.52669000	-5.52411400
17.29999904	0.00000000	-72.73621000	-4.73671200
17.49999902	0.00000000	-70.36478000	-4.73671200
17.69999901	0.00000000	-69.57431000	-4.73671200
17.89999900	0.00000000	-68.78383000	-4.73671200
18.09999899	0.00000000	-69.57431000	-4.73671200
18.29999898	0.00000000	-71.15526000	-4.73671200
18.49999896	0.00000000	-72.73621000	-4.73671200
18.69999895	0.00000000	-75.10764000	-4.73671200
18.89999894	0.00000000	-78.26956000	-4.73671200
19.09999893	0.00000000	-79.85051000	-4.73671200
19.29999892	0.00000000	-80.64099000	-4.73671200
19.49999891	0.00000000	-79.85051000	-4.73671200
19.69999889	0.00000000	-76.68861000	-4.73671200
19.89999888	0.00000000	-72.73621000	-5.52411400
20.09999887	0.00000000	-67.99335000	-4.73671200
20.29999886	0.00000000	-64.82837000	-4.73671200
20.49999885	0.00000000	-62.45694000	-4.73671200
20.69999883	0.00000000	-61.66646000	-5.52411400
20.89999882	0.00000000	-64.03790000	-5.52411400
21.09999881	0.00000000	-67.99335000	-5.52411400
21.29999880	0.00000000	-72.73621000	-5.52411400
21.49999879	0.00000000	-78.26956000	-5.52411400
21.69999877	0.00000000	-83.01242000	-5.52411400
21.89999876	0.00000000	-85.38692000	-5.52411400
22.09999875	0.00000000	-86.17741000	-4.73671200
22.29999874	0.00000000	-83.01242000	-3.94623500
22.49999873	0.00000000	-79.06004000	-3.94623500
22.69999872	0.00000000	-73.52669000	-3.15575800
22.89999870	0.00000000	-67.19980000	-2.36835600
23.09999869	0.00000000	-62.45694000	-3.15575800
23.29999868	0.00000000	-60.87598000	-3.94623500
23.49999867	0.00000000	-61.66646000	-4.73671200
23.69999866	0.00000000	-64.82837000	-6.31459100
23.89999864	0.00000000	-69.57431000	-7.89247000
24.09999863	0.00000000	-75.10764000	-9.47342500
24.29999862	0.00000000	-79.06004000	-11.05130000
24.49999861	0.00000000	-82.22194000	-11.05130000
24.69999860	0.00000000	-82.22194000	-10.26390000
24.89999858	0.00000000	-80.64099000	-7.89247000
25.09999857	0.00000000	-76.68861000	-3.15575800
25.29999856	0.00000000	-71.94574000	0.78740150
25.49999855	0.00000000	-68.78383000	3.94623500
25.69999854	0.00000000	-67.19980000	7.10506800
25.89999853	0.00000000	-66.40932000	7.89247000
26.09999851	0.00000000	-67.99335000	5.52411400
26.29999850	0.00000000	-70.36478000	0.78740150
26.49999849	0.00000000	-72.73621000	-6.31459100
26.69999848	0.00000000	-75.10764000	-13.41966000
26.89999847	0.00000000	-75.89813000	-20.52780000
27.09999845	0.00000000	-76.68861000	-24.47404000
27.29999844	0.00000000	-75.89813000	-25.26452000
27.49999843	0.00000000	-74.31717000	-22.10568000
27.69999842	0.00000000	-71.94574000	-14.21014000
27.89999841	0.00000000	-71.94574000	-4.73671200
28.09999839	0.00000000	-70.36478000	5.52411400
28.29999838	0.00000000	-71.15526000	14.21014000
28.49999837	0.00000000	-71.15526000	20.52780000
28.69999836	0.00000000	-72.73621000	20.52780000
28.89999835	0.00000000	-75.10764000	15.78802000
29.09999834	0.00000000	-76.68861000	6.31459100
29.29999832	0.00000000	-76.68861000	-5.52411400
29.49999831	0.00000000	-75.89813000	-17.36897000
29.69999830	0.00000000	-75.10764000	-27.63287000
29.89999829	0.00000000	-74.31717000	-33.16006000
30.09999828	0.00000000	-72.73621000	-33.16006000
30.29999826	0.00000000	-71.94574000	-27.63287000
30.49999825	0.00000000	-71.15526000	-17.36897000
30.69999824	0.00000000	-70.36478000	-4.73671200
30.89999823	0.00000000	-70.36478000	7.89247000
31.09999822	0.00000000	-71.94574000	17.36897000
31.29999820	0.00000000	-71.15526000	22.10568000
31.49999819	0.00000000	-71.15526000	21.31520000
31.69999818	0.00000000	-71.15526000	14.21014000
31.89999817	0.00000000	-71.15526000	3.94623500
32.09999816	0.00000000	-71.94574000	-7.89247000
32.29999815	0.00000000	-73.52669000	-18.94685000
32.49999813	0.00000000	-75.10764000	-26.05192000
32.69999812	0.00000000	-77.47908000	-28.42335000
32.89999811	0.00000000	-79.06004000	-25.26452000
33.09999810	0.00000000	-79.06004000	-17.36897000
33.29999809	0.00000000	-79.85051000	-7.89247000
33.49999807	0.00000000	-77.47908000	2.36835600
33.69999806	0.00000000	-74.31717000	10.26390000
33.89999805	0.00000000	-70.36478000	13.41966000
34.09999804	0.00000000	-66.40932000	12.63226000
34.29999803	0.00000000	-64.03790000	7.10506800
34.49999801	0.00000000	-63.24741000	-1.57787900
34.69999800	0.00000000	-64.03790000	-10.26390000
34.89999799	0.00000000	-67.99335000	-17.36897000
35.09999798	0.00000000	-71.94574000	-22.10568000
35.29999797	0.00000000	-77.47908000	-22.10568000
35.49999796	0.00000000	-82.22194000	-17.36897000
35.69999794	0.00000000	-85.38692000	-9.47342500
35.89999793	0.00000000	-85.38692000	-0.78740150
36.09999792	0.00000000	-83.01242000	7.10506800
36.29999791	0.00000000	-79.85051000	11.84178000
36.49999790	0.00000000	-74.31717000	12.63226000
36.69999788	0.00000000	-67.99335000	8.68294700
36.89999787	0.00000000	-62.45694000	2.36835600
37.09999786	0.00000000	-60.08550000	-6.31459100
37.29999785	0.00000000	-59.29502000	-15.00061000
37.49999784	0.00000000	-61.66646000	-21.31520000
37.69999782	0.00000000	-66.40932000	-23.68356000
37.89999781	0.00000000	-71.94574000	-22.10568000
38.09999780	0.00000000	-78.26956000	-16.57849000
38.29999779	0.00000000	-83.80289000	-8.68294700
38.49999778	0.00000000	-86.96788000	0.00000000
38.69999777	0.00000000	-87.75835000	7.10506800
38.89999775	0.00000000	-84.59645000	11.05130000
39.09999774	0.00000000	-79.85051000	11.84178000
39.29999773	0.00000000	-73.52669000	9.47342500
39.49999772	0.00000000	-67.99335000	3.15575800
39.69999771	0.00000000	-63.24741000	-3.94623500
39.89999769	0.00000000	-61.66646000	-11.05130000
40.09999768	0.00000000	-62.45694000	-16.57849000
40.29999767	0.00000000	-65.61884000	-19.73733000
40.49999766	0.00000000	-69.57431000	-18.94685000
40.69999765	0.00000000	-73.52669000	-15.78802000
40.89999763	0.00000000	-78.26956000	-11.05130000
41.09999762	0.00000000	-80.64099000	-5.52411400
41.29999761	0.00000000	-80.64099000	0.00000000
41.49999760	0.00000000	-79.06004000	3.94623500
41.69999759	0.00000000	-76.68861000	5.52411400
41.89999758	0.00000000	-74.31717000	5.52411400
42.09999756	0.00000000	-71.15526000	3.15575800
42.29999755	0.00000000	-69.57431000	0.00000000
42.49999754	0.00000000	-69.57431000	-3.94623500
42.69999753	0.00000000	-70.36478000	-7.89247000
42.89999752	0.00000000	-71.94574000	-11.05130000
43.09999750	0.00000000	-74.31717000	-13.41966000
43.29999749	0.00000000	-75.89813000	-12.63226000
43.49999748	0.00000000	-75.89813000	-11.84178000
43.69999747	0.00000000	-75.89813000	-10.26390000
43.89999746	0.00000000	-74.31717000	-7.10506800
44.09999744	0.00000000	-72.73621000	-3.94623500
44.29999743	0.00000000	-70.36478000	-2.36835600
44.49999742	0.00000000	-68.78383000	0.78740150
44.69999741	0.00000000	-67.99335000	1.57787900
44.89999740	0.00000000	-69.57431000	1.57787900
45.09999739	0.00000000	-73.52669000	0.00000000
45.29999737	0.00000000	-75.89813000	-1.57787900
45.49999736	0.00000000	-78.26956000	-4.73671200
45.69999735	0.00000000	-79.85051000	-7.89247000
45.89999734	0.00000000	-79.85051000	-10.26390000
46.09999733	0.00000000	-77.47908000	-11.84178000
46.29999731	0.00000000	-75.10764000	-11.84178000
46.49999730	0.00000000	-71.94574000	-11.05130000
46.69999729	0.00000000	-68.78383000	-8.68294700
46.89999728	0.00000000	-66.40932000	-6.31459100
47.09999727	0.00000000	-66.40932000	-3.94623500
47.29999725	0.00000000	-67.99335000	-0.78740150
47.49999724	0.00000000	-70.36478000	0.00000000
47.69999723	0.00000000	-72.73621000	0.78740150
47.89999722	0.00000000	-75.89813000	0.00000000
48.09999721	0.00000000	-77.47908000	-1.57787900
48.29999720	0.00000000	-78.26956000	-3.94623500
48.49999718	0.00000000	-78.26956000	-5.52411400
48.69999717	0.00000000	-76.68861000	-7.89247000
48.89999716	0.00000000	-74.31717000	-8.68294700
49.09999715	0.00000000	-72.73621000	-9.47342500
49.29999714	0.00000000	-71.15526000	-8.68294700
49.49999712	0.00000000	-71.94574000	-7.89247000
49.69999711	0.00000000	-71.15526000	-6.31459100
49.89999710	0.00000000	-71.15526000	-4.73671200
50.09999709	0.00000000	-72.73621000	-3.94623500
50.29999708	0.00000000	-73.52669000	-2.36835600
50.49999706	0.00000000	-74.31717000	-3.15575800
50.69999705	0.00000000	-74.31717000	-3.15575800
50.89999704	0.00000000	-74.31717000	-3.94623500
51.09999703	0.00000000	-73.52669000	-4.73671200
51.29999702	0.00000000	-73.52669000	-5.52411400
51.49999701	0.00000000	-72.73621000	-6.31459100
51.69999699	0.00000000	-73.52669000	-6.31459100
51.89999698	0.00000000	-73.52669000	-6.31459100
52.09999697	0.00000000	-73.52669000	-4.73671200
52.29999696	0.00000000	-74.31717000	-4.73671200
52.49999695	0.00000000	-74.31717000	-3.94623500
52.69999693	0.00000000	-74.31717000	-4.73671200
52.89999692	0.00000000	-73.52669000	-4.73671200
53.09999691	0.00000000	-72.73621000	-5.52411400
53.29999690	0.00000000	-71.94574000	-5.52411400
53.49999689	0.00000000	-71.94574000	-7.10506800
53.69999687	0.00000000	-71.94574000	-7.10506800
53.89999686	0.00000000	-72.73621000	-7.10506800
54.09999685	0.00000000	-73.52669000	-6.31459100
54.29999684	0.00000000	-75.10764000	-5.52411400
54.49999683	0.00000000	-75.89813000	-3.94623500
54.69999682	0.00000000	-75.89813000	-3.15575800
54.89999680	0.00000000	-76.68861000	-2.36835600
55.09999679	0.00000000	-75.10764000	-2.36835600
55.29999678	0.00000000	-73.52669000	-3.15575800
55.49999677	0.00000000	-71.94574000	-4.73671200
55.69999676	0.00000000	-70.36478000	-6.31459100
55.89999674	0.00000000	-70.36478000	-7.89247000
56.09999673	0.00000000	-70.36478000	-8.68294700
56.29999672	0.00000000	-72.73621000	-9.47342500
56.49999671	0.00000000	-74.31717000	-8.68294700
56.69999670	0.00000000	-75.89813000	-7.10506800
56.89999668	0.00000000	-77.47908000	-4.73671200
57.09999667	0.00000000	-77.47908000	-3.15575800
57.29999666	0.00000000	-75.89813000	-0.78740150
57.49999665	0.00000000	-72.73621000	0.00000000
57.69999664	0.00000000	-71.15526000	-1.57787900
57.89999663	0.00000000	-69.57431000	-2.36835600
58.09999661	0.00000000	-68.78383000	-5.52411400
58.29999660	0.00000000	-68.78383000	-7.10506800
58.49999659	0.00000000	-69.57431000	-7.89247000
58.69999658	0.00000000	-71.94574000	-9.47342500
58.89999657	0.00000000	-74.31717000	-10.26390000
59.09999655	0.00000000	-77.47908000	-8.68294700
59.29999654	0.00000000	-79.06004000	-7.10506800
59.49999653	0.00000000	-79.06004000	-4.73671200
59.69999652	0.00000000	-76.68861000	-2.36835600
59.89999651	0.00000000	-75.10764000	-2.36835600
60.09999649	0.00000000	-71.15526000	-1.57787900
60.29999648	0.00000000	-69.57431000	-1.57787900
60.49999647	0.00000000	-67.19980000	-2.36835600
60.69999646	0.00000000	-66.40932000	-4.73671200
60.89999645	0.00000000	-68.78383000	-6.31459100
61.09999644	0.00000000	-71.15526000	-7.89247000
61.29999642	0.00000000	-75.10764000	-8.68294700
61.49999641	0.00000000	-78.26956000	-8.68294700
61.69999640	0.00000000	-80.64099000	-7.89247000
61.89999639	0.00000000	-81.43147000	-6.31459100
62.09999638	0.00000000	-80.64099000	-5.52411400
62.29999636	0.00000000	-77.47908000	-3.94623500
62.49999635	0.00000000	-72.73621000	-2.36835600
62.69999634	0.00000000	-68.78383000	-2.36835600
62.89999633	0.00000000	-65.61884000	-2.36835600
63.09999632	0.00000000	-64.82837000	-3.15575800
63.29999630	0.00000000	-64.82837000	-4.73671200
63.49999629	0.00000000	-67.19980000	-5.52411400
63.69999628	0.00000000	-71.15526000	-7.10506800
63.89999627	0.00000000	-75.89813000	-7.89247000
64.09999626	0.00000000	-79.85051000	-7.89247000
64.29999625	0.00000000	-83.01242000	-7.10506800
64.49999623	0.00000000	-83.01242000	-6.31459100
64.69999622	0.00000000	-82.22194000	-4.73671200
64.89999621	0.00000000	-78.26956000	-3.15575800
65.09999620	0.00000000	-74.31717000	-2.36835600
65.29999619	0.00000000	-69.57431000	-2.36835600
65.49999617	0.00000000	-67.19980000	-2.36835600
65.69999616	0.00000000	-64.82837000	-3.15575800
65.89999615	0.00000000	-64.03790000	-3.94623500
66.09999614	0.00000000	-67.19980000	-6.31459100
66.29999613	0.00000000	-71.15526000	-7.89247000
66.49999611	0.00000000	-74.31717000	-9.47342500
66.69999610	0.00000000	-77.47908000	-9.47342500
66.89999609	0.00000000	-79.85051000	-8.68294700
67.09999608	0.00000000	-80.64099000	-7.89247000
67.29999607	0.00000000	-79.85051000	-6.31459100
67.49999606	0.00000000	-77.47908000	-3.94623500
67.69999604	0.00000000	-75.10764000	-2.36835600
67.89999603	0.00000000	-71.94574000	-0.78740150
68.09999602	0.00000000	-69.57431000	-0.78740150
68.29999601	0.00000000	-68.78383000	-1.57787900
68.49999600	0.00000000	-68.78383000	-3.15575800
68.69999598	0.00000000	-69.57431000	-4.73671200
68.89999597	0.00000000	-71.94574000	-6.31459100
69.09999596	0.00000000	-73.52669000	-7.89247000
69.29999595	0.00000000	-74.31717000	-9.47342500
69.49999594	0.00000000	-75.10764000	-9.47342500
69.69999592	0.00000000	-75.89813000	-8.68294700
69.89999591	0.00000000	-75.10764000	-7.89247000
70.09999590	0.00000000	-74.31717000	-6.31459100
