Time	Channel A	Channel B	Channel C
(us)	(V)	(mV)	(mV)

-4.19999969	0.00000000	-53.75861000	-4.73671200
-3.99999971	0.00000000	-53.75861000	-3.15575800
-3.79999972	0.00000000	-53.75861000	-4.73671200
-3.59999973	0.00000000	-53.75861000	-3.15575800
-3.39999974	0.00000000	-53.75861000	-4.73671200
-3.19999975	0.00000000	-52.17765000	-4.73671200
-2.99999977	0.00000000	-53.75861000	-4.73671200
-2.79999978	0.00000000	-53.75861000	-4.73671200
-2.59999979	0.00000000	-53.75861000	-4.73671200
-2.39999980	0.00000000	-53.75861000	-3.15575800
-2.19999981	0.00000000	-53.75861000	-4.73671200
-1.99999982	0.00000000	-53.75861000	-4.73671200
-1.79999984	0.00000000	-53.75861000	-4.73671200
-1.59999985	0.00000000	-53.75861000	-4.73671200
-1.39999986	0.00000000	-53.75861000	-4.73671200
-1.19999987	0.00000000	-53.75861000	-4.73671200
-0.99999988	0.00000000	-53.75861000	-4.73671200
-0.79999990	0.00000000	-53.75861000	-4.73671200
-0.59999991	0.00000000	-52.17765000	-4.73671200
-0.39999992	0.15871060	-53.75861000	-4.73671200
-0.19999993	0.31803640	-53.75861000	-4.73671200
0.00000006	0.79601380	-52.17765000	-4.73671200
0.20000004	0.95533960	-52.17765000	-3.15575800
0.40000003	1.11466500	-52.17765000	-4.73671200
0.60000002	0.79601380	-53.75861000	-4.73671200
0.80000001	0.31803640	-52.17765000	-4.73671200
1.00000000	-0.47736220	-55.33957000	-4.73671200
1.19999999	-1.43331700	-55.33957000	-4.73671200
1.39999997	-2.22994600	-55.33957000	-4.73671200
1.59999996	-2.70792300	-53.75861000	-4.73671200
1.79999995	-2.70792300	-55.33957000	-4.73671200
1.99999994	-1.91129400	-55.33957000	-4.73671200
2.19999993	-0.31803640	-53.75861000	-3.15575800
2.39999991	1.59264300	-52.17765000	-4.73671200
2.59999990	3.50393700	-52.17765000	-3.15575800
2.79999989	4.93786900	-50.59670000	-3.15575800
2.99999988	5.41584600	-50.59670000	-3.15575800
3.19999987	4.61921700	-50.59670000	-3.15575800
3.39999985	2.54859700	-52.17765000	-4.73671200
3.59999984	-0.47736220	-53.75861000	-4.73671200
3.79999983	-3.66326300	-55.33957000	-4.73671200
3.99999982	-6.37180100	-56.92052000	-4.73671200
4.19999981	-7.96444400	-56.92052000	-4.73671200
4.39999980	-7.80511800	-56.92052000	-4.73671200
4.59999978	-5.73449800	-56.92052000	-4.73671200
4.79999977	-2.22994600	-55.33957000	-4.73671200
4.99999976	1.91129400	-52.17765000	-3.15575800
5.19999975	5.89382400	-50.59670000	-3.15575800
5.39999974	8.60174700	-49.01575000	-3.15575800
5.59999972	9.55770200	-47.43479000	-3.15575800
5.79999971	8.44242100	-49.01575000	-3.15575800
5.99999970	5.41584600	-50.59670000	-3.15575800
6.19999969	0.95533960	-52.17765000	-4.73671200
6.39999968	-3.50393700	-55.33957000	-4.73671200
6.59999967	-7.32714100	-56.92052000	-4.73671200
6.79999965	-9.39837600	-58.50147000	-4.73671200
6.99999964	-9.39837600	-58.50147000	-4.73671200
7.19999963	-7.32714100	-58.50147000	-4.73671200
7.39999962	-3.66326300	-55.33957000	-4.73671200
7.59999961	0.31803640	-53.75861000	-3.15575800
7.79999959	4.30056600	-50.59670000	-3.15575800
7.99999958	7.00848900	-49.01575000	-3.15575800
8.19999957	7.96444400	-49.01575000	-3.15575800
8.39999956	7.16781500	-50.59670000	-3.15575800
8.59999955	4.77854300	-52.17765000	-4.73671200
8.79999953	1.75196900	-53.75861000	-3.15575800
8.99999952	-1.27399100	-53.75861000	-4.73671200
9.19999951	-3.82258900	-55.33957000	-4.73671200
9.39999950	-5.09719500	-55.33957000	-4.73671200
9.59999949	-5.25652100	-56.92052000	-4.73671200
9.79999948	-4.14124000	-53.75861000	-4.73671200
9.99999946	-2.38927200	-53.75861000	-4.73671200
10.19999945	-0.47736220	-52.17765000	-4.73671200
10.39999944	1.27399100	-52.17765000	-3.15575800
10.59999943	2.22994600	-52.17765000	-3.15575800
10.79999942	2.70792300	-52.17765000	-3.15575800
10.99999940	2.38927200	-52.17765000	-3.15575800
11.19999939	1.59264300	-53.75861000	-4.73671200
11.39999938	0.79601380	-53.75861000	-4.73671200
11.59999937	-0.15871060	-53.75861000	-4.73671200
11.79999936	-0.63668800	-53.75861000	-4.73671200
11.99999934	-0.95533960	-53.75861000	-4.73671200
12.19999933	-0.95533960	-53.75861000	-4.73671200
12.39999932	-0.79601380	-53.75861000	-4.73671200
12.59999931	-0.47736220	-53.75861000	-4.73671200
12.79999930	-0.15871060	-53.75861000	-4.73671200
12.99999929	0.00000000	-53.75861000	-4.73671200
13.19999927	0.00000000	-53.75861000	-4.73671200
13.39999926	0.00000000	-53.75861000	-4.73671200
13.59999925	0.00000000	-53.75861000	-4.73671200
13.79999924	0.00000000	-53.75861000	-4.73671200
13.99999923	0.00000000	-53.75861000	-4.73671200
14.19999921	0.00000000	-53.75861000	-4.73671200
14.39999920	0.00000000	-53.75861000	-4.73671200
14.59999919	0.00000000	-53.75861000	-4.73671200
14.79999918	0.00000000	-53.75861000	-4.73671200
14.99999917	0.00000000	-52.17765000	-4.73671200
15.19999915	0.00000000	-52.17765000	-4.73671200
15.39999914	0.00000000	-53.75861000	-4.73671200
15.59999913	0.00000000	-53.75861000	-4.73671200
15.79999912	0.00000000	-53.75861000	-3.15575800
15.99999911	0.00000000	-55.33957000	-4.73671200
16.19999910	0.00000000	-55.33957000	-4.73671200
16.39999908	0.00000000	-55.33957000	-4.73671200
16.59999907	0.00000000	-55.33957000	-4.73671200
16.79999906	0.00000000	-55.33957000	-4.73671200
16.99999905	0.00000000	-53.75861000	-4.73671200
17.19999904	0.00000000	-53.75861000	-4.73671200
17.39999902	0.00000000	-52.17765000	-4.73671200
17.59999901	0.00000000	-50.59670000	-4.73671200
17.79999900	0.00000000	-50.59670000	-4.73671200
17.99999899	0.00000000	-50.59670000	-4.73671200
18.19999898	0.00000000	-50.59670000	-3.15575800
18.39999896	0.00000000	-50.59670000	-4.73671200
18.59999895	0.00000000	-52.17765000	-4.73671200
18.79999894	0.00000000	-55.33957000	-4.73671200
18.99999893	0.00000000	-56.92052000	-4.73671200
19.19999892	0.00000000	-60.08243000	-4.73671200
19.39999891	0.00000000	-60.08243000	-4.73671200
19.59999889	0.00000000	-60.08243000	-3.15575800
19.79999888	0.00000000	-58.50147000	-4.73671200
19.99999887	0.00000000	-55.33957000	-4.73671200
20.19999886	0.00000000	-50.59670000	-4.73671200
20.39999885	0.00000000	-45.85384000	-4.73671200
20.59999883	0.00000000	-44.27288000	-4.73671200
20.79999882	0.00000000	-44.27288000	-4.73671200
20.99999881	0.00000000	-44.27288000	-4.73671200
21.19999880	0.00000000	-47.43479000	-4.73671200
21.39999879	0.00000000	-52.17765000	-4.73671200
21.59999877	0.00000000	-58.50147000	-4.73671200
21.79999876	0.00000000	-63.24434000	-3.15575800
21.99999875	0.00000000	-64.82529000	-4.73671200
22.19999874	0.00000000	-66.40624000	-4.73671200
22.39999873	0.00000000	-64.82529000	-3.15575800
22.59999872	0.00000000	-60.08243000	-3.15575800
22.79999870	0.00000000	-53.75861000	-3.15575800
22.99999869	0.00000000	-47.43479000	-1.57480300
23.19999868	0.00000000	-44.27288000	-1.57480300
23.39999867	0.00000000	-41.11097000	-1.57480300
23.59999866	0.00000000	-41.11097000	-3.15575800
23.79999864	0.00000000	-44.27288000	-4.73671200
23.99999863	0.00000000	-49.01575000	-7.89247000
24.19999862	0.00000000	-53.75861000	-9.47342500
24.39999861	0.00000000	-60.08243000	-9.47342500
24.59999860	0.00000000	-63.24434000	-12.62918000
24.79999858	0.00000000	-64.82529000	-9.47342500
24.99999857	0.00000000	-61.66338000	-6.31151500
25.19999856	0.00000000	-60.08243000	-3.15575800
25.39999855	0.00000000	-55.33957000	0.00000000
25.59999854	0.00000000	-50.59670000	4.73671200
25.79999853	0.00000000	-47.43479000	7.89247000
25.99999851	0.00000000	-45.85384000	7.89247000
26.19999850	0.00000000	-47.43479000	6.31151500
26.39999849	0.00000000	-50.59670000	1.57480300
26.59999848	0.00000000	-53.75861000	-4.73671200
26.79999847	0.00000000	-56.92052000	-11.04823000
26.99999845	0.00000000	-58.50147000	-18.94685000
27.19999844	0.00000000	-58.50147000	-22.10261000
27.39999843	0.00000000	-56.92052000	-23.68356000
27.59999842	0.00000000	-56.92052000	-20.52780000
27.79999841	0.00000000	-53.75861000	-14.21014000
27.99999839	0.00000000	-50.59670000	-4.73671200
28.19999838	0.00000000	-50.59670000	4.73671200
28.39999837	0.00000000	-50.59670000	14.21014000
28.59999836	0.00000000	-50.59670000	20.52780000
28.79999835	0.00000000	-52.17765000	20.52780000
28.99999834	0.00000000	-53.75861000	17.36589000
29.19999832	0.00000000	-55.33957000	9.47342500
29.39999831	0.00000000	-56.92052000	-1.57480300
29.59999830	0.00000000	-56.92052000	-14.21014000
29.79999829	0.00000000	-56.92052000	-25.26452000
29.99999828	0.00000000	-55.33957000	-31.57603000
30.19999826	0.00000000	-53.75861000	-31.57603000
30.39999825	0.00000000	-53.75861000	-26.83932000
30.59999824	0.00000000	-52.17765000	-17.36589000
30.79999823	0.00000000	-52.17765000	-6.31151500
30.99999822	0.00000000	-52.17765000	6.31151500
31.19999820	0.00000000	-52.17765000	17.36589000
31.39999819	0.00000000	-52.17765000	22.10261000
31.59999818	0.00000000	-52.17765000	22.10261000
31.79999817	0.00000000	-52.17765000	15.78494000
31.99999816	0.00000000	-52.17765000	6.31151500
32.19999815	0.00000000	-52.17765000	-4.73671200
32.39999813	0.00000000	-52.17765000	-15.78494000
32.59999812	0.00000000	-53.75861000	-23.68356000
32.79999811	0.00000000	-56.92052000	-26.83932000
32.99999810	0.00000000	-58.50147000	-25.26452000
33.19999809	0.00000000	-60.08243000	-18.94685000
33.39999807	0.00000000	-60.08243000	-7.89247000
33.59999806	0.00000000	-58.50147000	1.57480300
33.79999805	0.00000000	-56.92052000	9.47342500
33.99999804	0.00000000	-52.17765000	14.21014000
34.19999803	0.00000000	-49.01575000	14.21014000
34.39999801	0.00000000	-44.27288000	9.47342500
34.59999800	0.00000000	-42.69193000	1.57480300
34.79999799	0.00000000	-42.69193000	-7.89247000
34.99999798	0.00000000	-44.27288000	-15.78494000
35.19999797	0.00000000	-49.01575000	-20.52780000
35.39999796	0.00000000	-53.75861000	-20.52780000
35.59999794	0.00000000	-60.08243000	-17.36589000
35.79999793	0.00000000	-64.82529000	-9.47342500
35.99999792	0.00000000	-67.99335000	-1.57480300
36.19999791	0.00000000	-67.99335000	6.31151500
36.39999790	0.00000000	-64.82529000	11.04823000
36.59999788	0.00000000	-60.08243000	12.62918000
36.79999787	0.00000000	-53.75861000	11.04823000
36.99999786	0.00000000	-47.43479000	3.15575800
37.19999785	0.00000000	-42.69193000	-3.15575800
37.39999784	0.00000000	-39.53002000	-12.62918000
37.59999782	0.00000000	-37.94907000	-18.94685000
37.79999781	0.00000000	-41.11097000	-22.10261000
37.99999780	0.00000000	-47.43479000	-20.52780000
38.19999779	0.00000000	-53.75861000	-15.78494000
38.39999778	0.00000000	-60.08243000	-9.47342500
38.59999777	0.00000000	-64.82529000	0.00000000
38.79999775	0.00000000	-67.99335000	6.31151500
38.99999774	0.00000000	-67.99335000	11.04823000
39.19999773	0.00000000	-64.82529000	12.62918000
39.39999772	0.00000000	-60.08243000	9.47342500
39.59999771	0.00000000	-53.75861000	4.73671200
39.79999769	0.00000000	-47.43479000	-1.57480300
39.99999768	0.00000000	-42.69193000	-9.47342500
40.19999767	0.00000000	-41.11097000	-14.21014000
40.39999766	0.00000000	-41.11097000	-17.36589000
40.59999765	0.00000000	-44.27288000	-17.36589000
40.79999763	0.00000000	-45.85384000	-15.78494000
40.99999762	0.00000000	-53.75861000	-9.47342500
41.19999761	0.00000000	-58.50147000	-4.73671200
41.39999760	0.00000000	-60.08243000	0.00000000
41.59999759	0.00000000	-61.66338000	3.15575800
41.79999758	0.00000000	-63.24434000	6.31151500
41.99999756	0.00000000	-60.08243000	6.31151500
42.19999755	0.00000000	-55.33957000	3.15575800
42.39999754	0.00000000	-53.75861000	0.00000000
42.59999753	0.00000000	-52.17765000	-3.15575800
42.79999752	0.00000000	-50.59670000	-6.31151500
42.99999750	0.00000000	-49.01575000	-9.47342500
43.19999749	0.00000000	-50.59670000	-11.04823000
43.39999748	0.00000000	-52.17765000	-11.04823000
43.59999747	0.00000000	-52.17765000	-11.04823000
43.79999746	0.00000000	-53.75861000	-9.47342500
43.99999744	0.00000000	-53.75861000	-6.31151500
44.19999743	0.00000000	-53.75861000	-3.15575800
44.39999742	0.00000000	-53.75861000	-1.57480300
44.59999741	0.00000000	-53.75861000	0.00000000
44.79999740	0.00000000	-53.75861000	1.57480300
44.99999739	0.00000000	-53.75861000	1.57480300
45.19999737	0.00000000	-53.75861000	1.57480300
45.39999736	0.00000000	-55.33957000	0.00000000
45.59999735	0.00000000	-56.92052000	-3.15575800
45.79999734	0.00000000	-56.92052000	-4.73671200
45.99999733	0.00000000	-56.92052000	-7.89247000
46.19999731	0.00000000	-55.33957000	-9.47342500
46.39999730	0.00000000	-53.75861000	-9.47342500
46.59999729	0.00000000	-53.75861000	-9.47342500
46.79999728	0.00000000	-52.17765000	-9.47342500
46.99999727	0.00000000	-50.59670000	-6.31151500
47.19999725	0.00000000	-50.59670000	-4.73671200
47.39999724	0.00000000	-50.59670000	-1.57480300
47.59999723	0.00000000	-52.17765000	0.00000000
47.79999722	0.00000000	-53.75861000	1.57480300
47.99999721	0.00000000	-53.75861000	1.57480300
48.19999720	0.00000000	-55.33957000	0.00000000
48.39999718	0.00000000	-56.92052000	-1.57480300
48.59999717	0.00000000	-56.92052000	-3.15575800
48.79999716	0.00000000	-55.33957000	-4.73671200
48.99999715	0.00000000	-53.75861000	-6.31151500
49.19999714	0.00000000	-53.75861000	-7.89247000
49.39999712	0.00000000	-52.17765000	-9.47342500
49.59999711	0.00000000	-52.17765000	-7.89247000
49.79999710	0.00000000	-52.17765000	-7.89247000
49.99999709	0.00000000	-52.17765000	-6.31151500
50.19999708	0.00000000	-53.75861000	-4.73671200
50.39999706	0.00000000	-53.75861000	-1.57480300
50.59999705	0.00000000	-53.75861000	-1.57480300
50.79999704	0.00000000	-55.33957000	-1.57480300
50.99999703	0.00000000	-53.75861000	-1.57480300
51.19999702	0.00000000	-53.75861000	-1.57480300
51.39999701	0.00000000	-53.75861000	-3.15575800
51.59999699	0.00000000	-53.75861000	-4.73671200
51.79999698	0.00000000	-52.17765000	-4.73671200
51.99999697	0.00000000	-53.75861000	-6.31151500
52.19999696	0.00000000	-53.75861000	-6.31151500
52.39999695	0.00000000	-55.33957000	-4.73671200
52.59999693	0.00000000	-55.33957000	-4.73671200
52.79999692	0.00000000	-55.33957000	-3.15575800
52.99999691	0.00000000	-56.92052000	-3.15575800
53.19999690	0.00000000	-55.33957000	-3.15575800
53.39999689	0.00000000	-55.33957000	-3.15575800
53.59999687	0.00000000	-53.75861000	-4.73671200
53.79999686	0.00000000	-52.17765000	-4.73671200
53.99999685	0.00000000	-52.17765000	-4.73671200
54.19999684	0.00000000	-52.17765000	-6.31151500
54.39999683	0.00000000	-52.17765000	-4.73671200
54.59999682	0.00000000	-52.17765000	-4.73671200
54.79999680	0.00000000	-53.75861000	-3.15575800
54.99999679	0.00000000	-55.33957000	-3.15575800
55.19999678	0.00000000	-55.33957000	-1.57480300
55.39999677	0.00000000	-55.33957000	-1.57480300
55.59999676	0.00000000	-55.33957000	-1.57480300
55.79999674	0.00000000	-53.75861000	-3.15575800
55.99999673	0.00000000	-53.75861000	-4.73671200
56.19999672	0.00000000	-52.17765000	-6.31151500
56.39999671	0.00000000	-52.17765000	-7.89247000
56.59999670	0.00000000	-52.17765000	-7.89247000
56.79999668	0.00000000	-53.75861000	-7.89247000
56.99999667	0.00000000	-55.33957000	-7.89247000
57.19999666	0.00000000	-55.33957000	-4.73671200
57.39999665	0.00000000	-55.33957000	-3.15575800
57.59999664	0.00000000	-55.33957000	-1.57480300
57.79999663	0.00000000	-55.33957000	0.00000000
57.99999661	0.00000000	-53.75861000	0.00000000
58.19999660	0.00000000	-52.17765000	-1.57480300
58.39999659	0.00000000	-52.17765000	-3.15575800
58.59999658	0.00000000	-52.17765000	-4.73671200
58.79999657	0.00000000	-52.17765000	-6.31151500
58.99999655	0.00000000	-53.75861000	-7.89247000
59.19999654	0.00000000	-53.75861000	-7.89247000
59.39999653	0.00000000	-55.33957000	-7.89247000
59.59999652	0.00000000	-56.92052000	-6.31151500
59.79999651	0.00000000	-58.50147000	-4.73671200
59.99999649	0.00000000	-56.92052000	-3.15575800
60.19999648	0.00000000	-55.33957000	-1.57480300
60.39999647	0.00000000	-53.75861000	-1.57480300
60.59999646	0.00000000	-52.17765000	-1.57480300
60.79999645	0.00000000	-50.59670000	-1.57480300
60.99999644	0.00000000	-49.01575000	-3.15575800
61.19999642	0.00000000	-49.01575000	-3.15575800
61.39999641	0.00000000	-50.59670000	-4.73671200
61.59999640	0.00000000	-53.75861000	-6.31151500
61.79999639	0.00000000	-56.92052000	-6.31151500
61.99999638	0.00000000	-58.50147000	-6.31151500
62.19999636	0.00000000	-60.08243000	-6.31151500
62.39999635	0.00000000	-60.08243000	-4.73671200
62.59999634	0.00000000	-58.50147000	-4.73671200
62.79999633	0.00000000	-56.92052000	-3.15575800
62.99999632	0.00000000	-53.75861000	-1.57480300
63.19999630	0.00000000	-49.01575000	-1.57480300
63.39999629	0.00000000	-47.43479000	-1.57480300
63.59999628	0.00000000	-45.85384000	-3.15575800
63.79999627	0.00000000	-45.85384000	-4.73671200
63.99999626	0.00000000	-49.01575000	-4.73671200
64.19999625	0.00000000	-53.75861000	-6.31151500
64.39999623	0.00000000	-56.92052000	-6.31151500
64.59999622	0.00000000	-60.08243000	-6.31151500
64.79999621	0.00000000	-61.66338000	-6.31151500
64.99999620	0.00000000	-61.66338000	-4.73671200
65.19999619	0.00000000	-61.66338000	-3.15575800
65.39999617	0.00000000	-58.50147000	-1.57480300
65.59999616	0.00000000	-53.75861000	-1.57480300
65.79999615	0.00000000	-49.01575000	-1.57480300
65.99999614	0.00000000	-47.43479000	-1.57480300
66.19999613	0.00000000	-45.85384000	-3.15575800
66.39999611	0.00000000	-45.85384000	-4.73671200
66.59999610	0.00000000	-47.43479000	-6.31151500
66.79999609	0.00000000	-50.59670000	-7.89247000
66.99999608	0.00000000	-53.75861000	-7.89247000
67.19999607	0.00000000	-56.92052000	-7.89247000
67.39999606	0.00000000	-60.08243000	-7.89247000
67.59999604	0.00000000	-61.66338000	-6.31151500
67.79999603	0.00000000	-61.66338000	-3.15575800
67.99999602	0.00000000	-60.08243000	-1.57480300
68.19999601	0.00000000	-56.92052000	0.00000000
68.39999600	0.00000000	-53.75861000	0.00000000
68.59999598	0.00000000	-50.59670000	0.00000000
68.79999597	0.00000000	-49.01575000	0.00000000
68.99999596	0.00000000	-47.43479000	-3.15575800
69.19999595	0.00000000	-47.43479000	-4.73671200
69.39999594	0.00000000	-50.59670000	-6.31151500
69.59999592	0.00000000	-52.17765000	-7.89247000
69.79999591	0.00000000	-55.33957000	-9.47342500
69.99999590	0.00000000	-56.92052000	-7.89247000
70.19999589	0.00000000	-58.50147000	-7.89247000
